,iteration,metric,value
0,99,mse,0.11269250512123108
1,199,mse,0.06186468526721001
2,299,mse,0.06293925642967224
3,399,mse,0.07846680283546448
4,499,mse,0.09408531337976456
5,599,mse,0.11768416315317154
6,699,mse,0.1309938132762909
7,799,mse,0.14263486862182617
8,899,mse,0.15738169848918915
9,999,mse,0.17235559225082397
10,1099,mse,0.18609176576137543
11,1199,mse,0.19221799075603485
12,1299,mse,0.20581674575805664
13,1399,mse,0.19903668761253357
14,1499,mse,0.22204503417015076
15,1599,mse,0.21771949529647827
16,1699,mse,0.2274443805217743
17,1799,mse,0.2214326709508896
18,1899,mse,0.23397724330425262
19,1999,mse,0.22882232069969177
20,2099,mse,0.22746098041534424
21,2199,mse,0.2511369287967682
22,2299,mse,0.23971040546894073
23,2399,mse,0.2348436415195465
24,2499,mse,0.2276448905467987
25,2599,mse,0.24751479923725128
26,2699,mse,0.2446543276309967
27,2799,mse,0.24286381900310516
28,2899,mse,0.24534957110881805
29,2999,mse,0.24133136868476868
30,3099,mse,0.23453088104724884
31,3199,mse,0.24680618941783905
32,3299,mse,0.24217677116394043
33,3399,mse,0.242414653301239
34,3499,mse,0.24897389113903046
35,3599,mse,0.25027501583099365
36,3699,mse,0.23625560104846954
37,3799,mse,0.246134415268898
38,3899,mse,0.23471152782440186
39,3999,mse,0.2544037699699402
40,4099,mse,0.2564367949962616
41,4199,mse,0.22949612140655518
42,4299,mse,0.23355448246002197
43,4399,mse,0.24280299246311188
44,4499,mse,0.24466875195503235
45,4599,mse,0.24093934893608093
46,4699,mse,0.24841377139091492
47,4799,mse,0.2463679313659668
48,4899,mse,0.240106463432312
49,4999,mse,0.2222004532814026
50,5099,mse,0.23426271975040436
51,5199,mse,0.2360282838344574
52,5299,mse,0.2520456314086914
53,5399,mse,0.22711487114429474
54,5499,mse,0.2265297919511795
55,5599,mse,0.23461106419563293
56,5699,mse,0.23692668974399567
57,5799,mse,0.22807283699512482
58,5899,mse,0.22861996293067932
59,5999,mse,0.22951097786426544
60,6099,mse,0.23144663870334625
61,6199,mse,0.23320958018302917
62,6299,mse,0.2271004468202591
63,6399,mse,0.23364131152629852
64,6499,mse,0.23458749055862427
65,6599,mse,0.2301303893327713
66,6699,mse,0.22760994732379913
67,6799,mse,0.22597777843475342
68,6899,mse,0.22197824716567993
