,$\mathcal{HU}_p$,investment,tick
0,0.0005384913302702454,0.51,0
1,0.000549261158798952,0.51,1
2,0.0005602463866894821,0.51,2
3,0.0005714513079791782,0.51,3
4,0.000582880345809791,0.51,4
5,0.0005945379493849959,0.51,5
6,0.0006064287073211114,0.51,6
7,0.0006185572819056898,0.51,7
8,0.0006309284265133808,0.51,8
9,0.0006435469994657193,0.51,9
10,0.0006564179302804014,0.51,10
11,0.0006695462910613596,0.51,11
12,0.000682937217804849,0.51,12
13,0.0006965959670851522,0.51,13
14,0.0007105278878910122,0.51,14
15,0.0007247384342370306,0.51,15
16,0.0007392332145501939,0.51,16
17,0.0007540178742556151,0.51,17
18,0.0007690982114806329,0.51,18
19,0.0007844801789999667,0.51,19
20,0.0008001697905702527,0.51,20
21,0.0008161731957894281,0.51,21
22,0.0008324966556778376,0.51,22
23,0.0008491465854256787,0.51,23
24,0.0008661295283813985,0.51,24
25,0.0008834521197965891,0.51,25
26,0.0009011211490847514,0.51,26
27,0.0009191435802605024,0.51,27
28,0.0009375264393431029,0.51,28
29,0.0009562769673757249,0.51,29
30,0.0009754025200054008,0.51,30
31,0.0009949105727707693,0.51,31
32,0.0010148087712015586,0.51,32
33,0.0010351049593540038,0.51,33
34,0.0010558070529322783,0.51,34
35,0.0010769231744308528,0.51,35
36,0.0010984616501853077,0.51,36
37,0.00112043089502995,0.51,37
38,0.0011428395145664987,0.51,38
39,0.0011656962986352987,0.51,39
40,0.0011890101982427934,0.51,40
41,0.0012127904282012792,0.51,41
42,0.0012370462179786905,0.51,42
43,0.0012617871287950036,0.51,43
44,0.001287022896220943,0.51,44
45,0.001312763364015951,0.51,45
46,0.001339018611105741,0.51,46
47,0.0013657989641190796,0.51,47
48,0.0013931149616977394,0.51,48
49,0.0014209772665493294,0.51,49
50,0.0014493968172470506,0.51,50
51,0.0014783847508805365,0.51,51
52,0.0015079524542240801,0.51,52
53,0.0015381115018943423,0.51,53
54,0.001568873722384454,0.51,54
55,0.0016002512009714441,0.51,55
56,0.0016322562384865113,0.51,56
57,0.0016649013577560152,0.51,57
58,0.001698199370281345,0.51,58
59,0.0017321633793837394,0.51,59
60,0.0017668066459161809,0.51,60
61,0.0018021427731448813,0.51,61
