,iteration,metric,value
123,6100,$\mathcal{HU}_p$,-0.9428041577339172
124,6200,mse,2.6912701078858654
125,6200,$\mathcal{HU}_p$,-0.944786787033081
126,6300,mse,2.6911553554624845
127,6300,$\mathcal{HU}_p$,-0.9475770592689514
128,6400,mse,2.6910523641995097
129,6400,$\mathcal{HU}_p$,-0.9490073323249817
130,6500,mse,2.690942836897757
131,6500,$\mathcal{HU}_p$,-0.9515302181243896
132,6600,mse,2.690861765943627
133,6600,$\mathcal{HU}_p$,-0.952033281326294
134,6700,mse,2.6907412751335484
135,6700,$\mathcal{HU}_p$,-0.9548380374908447
136,6800,mse,2.690646819534003
137,6800,$\mathcal{HU}_p$,-0.9555174112319946
138,6900,mse,2.690546838945966
139,6900,$\mathcal{HU}_p$,-0.9575734734535217
140,7000,mse,2.6904494836887425
141,7000,$\mathcal{HU}_p$,-0.9588568210601807
142,7100,mse,2.690360130338995
143,7100,$\mathcal{HU}_p$,-0.9601983428001404
144,7200,mse,2.690264731871828
145,7200,$\mathcal{HU}_p$,-0.9609450101852417
146,7300,mse,2.69016968376222
147,7300,$\mathcal{HU}_p$,-0.9618869423866272
148,7400,mse,2.690076755153412
149,7400,$\mathcal{HU}_p$,-0.9627231955528259
150,7500,mse,2.689982708118925
151,7500,$\mathcal{HU}_p$,-0.9636319875717163
152,7600,mse,2.6898918971540318
153,7600,$\mathcal{HU}_p$,-0.9638521075248718
154,7700,mse,2.6898003124621175
155,7700,$\mathcal{HU}_p$,-0.965029239654541
156,7800,mse,2.68970614073409
157,7800,$\mathcal{HU}_p$,-0.9657202959060669
158,7900,mse,2.689616823301281
159,7900,$\mathcal{HU}_p$,-0.9664651155471802
160,8000,mse,2.689524187768977
161,8000,$\mathcal{HU}_p$,-0.9668269157409668
162,8100,mse,2.6894355036140216
163,8100,$\mathcal{HU}_p$,-0.9677156805992126
164,8200,mse,2.689338950685984
165,8200,$\mathcal{HU}_p$,-0.9678159952163696
166,8300,mse,2.6892459029286018
167,8300,$\mathcal{HU}_p$,-0.9680287837982178
168,8400,mse,2.689153727762671
169,8400,$\mathcal{HU}_p$,-0.968750536441803
170,8500,mse,2.689060438261205
171,8500,$\mathcal{HU}_p$,-0.9691048264503479
172,8600,mse,2.688974748886893
173,8600,$\mathcal{HU}_p$,-0.9699696898460388
174,8700,mse,2.688874199756162
175,8700,$\mathcal{HU}_p$,-0.9698144793510437
176,8800,mse,2.6887952165318794
177,8800,$\mathcal{HU}_p$,-0.9691260457038879
178,8900,mse,2.6886871822148466
179,8900,$\mathcal{HU}_p$,-0.9704408049583435
180,9000,mse,2.6885934774156794
181,9000,$\mathcal{HU}_p$,-0.970404863357544
182,9100,mse,2.688500740207511
183,9100,$\mathcal{HU}_p$,-0.9709872007369995
184,9200,mse,2.6887010625765546
185,9200,$\mathcal{HU}_p$,-0.9744244813919067
186,9300,mse,2.6883139693690046
187,9300,$\mathcal{HU}_p$,-0.9714975357055664
188,9400,mse,2.688218647277293
189,9400,$\mathcal{HU}_p$,-0.9716681241989136
190,9500,mse,2.6881264536815506
191,9500,$\mathcal{HU}_p$,-0.9721903204917908
192,9600,mse,2.6880299513229327
193,9600,$\mathcal{HU}_p$,-0.9721818566322327
194,9700,mse,2.687936233154057
195,9700,$\mathcal{HU}_p$,-0.9725264310836792
196,9800,mse,2.6878406105039376
197,9800,$\mathcal{HU}_p$,-0.9725300073623657
198,9900,mse,2.6877554393525362
199,9900,$\mathcal{HU}_p$,-0.9720672369003296
200,10000,mse,2.6876504113860364
201,10000,$\mathcal{HU}_p$,-0.9729047417640686
202,10100,mse,2.687624167100094
203,10100,$\mathcal{HU}_p$,-0.9709542393684387
204,10200,mse,2.6874612901164228
205,10200,$\mathcal{HU}_p$,-0.9732280373573303
206,10300,mse,2.687386449719027
207,10300,$\mathcal{HU}_p$,-0.9744849801063538
208,10400,mse,2.6872691484092166
209,10400,$\mathcal{HU}_p$,-0.973441481590271
210,10500,mse,2.6872410655383785
211,10500,$\mathcal{HU}_p$,-0.9755859375
212,10600,mse,2.6870753571327777
213,10600,$\mathcal{HU}_p$,-0.973734438419342
214,10700,mse,2.687257291197278
215,10700,$\mathcal{HU}_p$,-0.976862370967865
216,10800,mse,2.686880894898847
217,10800,$\mathcal{HU}_p$,-0.9740740060806274
218,10900,mse,2.686797765289017
219,10900,$\mathcal{HU}_p$,-0.9746691584587097
220,11000,mse,2.6866857527880343
221,11000,$\mathcal{HU}_p$,-0.9743548631668091
222,11100,mse,2.686674653332428
223,11100,$\mathcal{HU}_p$,-0.9765236377716064
224,11200,mse,2.6864896033753745
225,11200,$\mathcal{HU}_p$,-0.974632203578949
226,11300,mse,2.686415182391292
227,11300,$\mathcal{HU}_p$,-0.9760267734527588
